time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-20T16:34:17.946Z,61.4909,-149.9114,38.7,1.2,ml,,,,0.48,ak,ak20523934,2018-12-20T16:37:03.869Z,"4km SE of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-12-20T16:32:52.857Z,59.8387,-152.2888,70.9,1.3,ml,,,,0.27,ak,ak20523933,2018-12-20T20:59:55.433Z,"26km WNW of Anchor Point, Alaska",earthquake,,1,,,reviewed,ak,ak
2018-12-20T16:29:45.410Z,44.7665,-111.4486667,14.05,1.43,ml,24,88,0.066,0.16,mb,mb80329329,2018-12-20T20:57:34.900Z,"29km WNW of West Yellowstone, Montana",earthquake,0.39,0.58,0.1,10,reviewed,mb,mb
2018-12-20T16:24:24.240Z,38.8196678,-122.7893295,0.43,1.27,md,19,44,0.01663,0.04,nc,nc73124651,2018-12-20T17:10:03.135Z,"6km NNW of The Geysers, CA",earthquake,0.18,0.44,0.09,5,automatic,nc,nc
2018-12-20T16:18:42.773Z,39.1149,-119.7261,7.9,0.8,ml,15,80.95,0.043,0.1864,nn,nn00671066,2018-12-20T18:12:02.433Z,"5km ENE of Indian Hills, Nevada",earthquake,,1.1,0.54,5,reviewed,nn,nn
2018-12-20T16:16:00.980Z,32.3691667,-115.2121667,10.24,1.45,ml,6,283,0.0932,0.09,ci,ci38400856,2018-12-20T20:30:28.165Z,"2km NW of Delta, B.C., MX",earthquake,1.23,0.44,0.161,4,reviewed,ci,ci
2018-12-20T15:58:05.989Z,39.1148,-119.7297,9.6,1.1,ml,8,129.18,0.044,0.1641,nn,nn00671064,2018-12-20T17:56:19.473Z,"5km NE of Indian Hills, Nevada",earthquake,,2.4,0.18,3,reviewed,nn,nn
2018-12-20T15:56:21.549Z,61.3809,-150.0304,38.3,2,ml,,,,0.66,ak,ak20523926,2018-12-20T16:04:17.208Z,"16km SSW of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
2018-12-20T15:54:00.388Z,61.3351,-150.0446,36.4,1.5,ml,,,,0.57,ak,ak20523922,2018-12-20T15:57:45.027Z,"15km NNW of Anchorage, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-12-20T15:52:40.030Z,37.6471667,-118.8578333,4.79,1,md,23,103,0.01971,0.04,nc,nc73124641,2018-12-20T18:31:03.085Z,"11km E of Mammoth Lakes, CA",earthquake,0.29,0.35,0.29,21,reviewed,nc,nc
2018-12-20T15:43:29.153Z,39.1139,-119.7299,10.8,1,ml,7,129.52,0.045,0.1477,nn,nn00670987,2018-12-20T16:15:01.339Z,"5km ENE of Indian Hills, Nevada",earthquake,,3,0.36,3,reviewed,nn,nn
2018-12-20T15:41:21.274Z,61.4141,-150.0985,36.2,2.1,ml,,,,0.68,ak,ak20523895,2018-12-20T15:53:03.823Z,"14km SSW of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
